label,text
Pos,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2
Neutral,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you�۪re getting friend... {link}"
Neutral,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we�۪ll make you one!
Neutral,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link}
Neutral,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link}
Pos,Hand-Held  Hobo�۪: Drafthouse launches  Hobo With a Shotgun�۪ iPhone app #SXSW {link}
Pos,HOORAY RT  @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link}
Neutral,Orly....?  @mention Google set to launch new social network #Circles today at #sxsw�۝
Pos,wooooo!!!  @mention Apple store downtown Austin open til Midnight. #sxsw�۝
Neutral,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw
Neutral," @mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW"
Neutral,  WHAT? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter
Neutral,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw"
Neutral, @mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝ @mention
Pos, @mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝
Neutral,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW."
Pos,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!
Neutral,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link}
Neutral,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link}
Neutral,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;
Neutral,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw"
Neutral,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw"
Neg,Again? RT @mention Line at the Apple store is insane.. #sxsw
Neutral,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw
Neutral,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!
Neg,attending @mention iPad design headaches #sxsw {link}
Neg,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw"
Pos,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link}
Neutral,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw
Neutral,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.
Pos,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!"
Neutral,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link}
Neutral,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name."
Pos,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw
Pos,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail
Neutral,I worship @mention {link} #SXSW
Neutral,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW"
Neutral,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}"
Pos,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw
Pos,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw
Neutral,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention
Pos,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}"
Pos,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi"
Neutral,Stay tune @mention showcase #H4ckers {link} #SXSW
Neutral,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link}
Neutral,Thank you @mention for an awesome #sxsw party! {link}
Neutral,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW"
Pos,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh
Neutral,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth
Neg,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!
Neutral,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2
Neutral,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW
Pos,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds."
Pos,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link}
Neutral,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW"
Pos,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile"
Neutral,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM
Neutral,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;"
Pos,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget
Neg,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw
Pos,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy"
Neutral,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention"
Pos," @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.�۝"
Neutral,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw"
Pos,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw"
Neutral,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment
Pos,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention
Pos,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link}
Neutral,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}"
Pos,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi"
Neutral,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}"
Pos,"At #SXSW, #Apple schools the marketing experts - {link}"
Neutral,"At #SXSW, #Apple schools the marketing experts {link}"
Pos,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}"
Pos,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters."
Pos, @mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.
Neutral,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!"
Neutral,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).
Pos,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me
Pos,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile
Pos,I can haz #iPad2 ifrom #SxSW Gr8 {link}
Pos,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}"
Neutral,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi"
Neutral,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps"
Pos,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw
Neutral,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw
Neutral,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW"
Neutral,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg"
Pos,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}"
Pos,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}"
Neutral,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat
Neutral,Any other #Sxsw accounts I need to follow or apps to download for iPhone?
Neutral,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.
Neutral,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link}
Neutral,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).
Pos,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link}
Pos,Temporary #sxsw apple store. Apple being sneaky as usual  {link}
Neutral,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.
Pos, @mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.�۝
Pos,Apple won #SxSW from day one. Seeing a TON of #iPad2
Neutral,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...
Pos, @mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ @mention Did you manage to get yours?
Pos, @mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ also known as the white jeans configuration.
Pos,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw
Neutral,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.
Neutral,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?
Neutral,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?
Neutral,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle
Pos,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel
Neutral,"More free #SXSW mp3 downloads, this time from iTunes: {link}"
Neutral,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?
Neutral,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk
Pos,The Apple #SXSW store still has iPad 2's and short lines.
Neutral,Essential #sxsw tools: {link}
Pos,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it."
Neutral,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today."
Neutral,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?
Pos,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!
Neutral,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once)
Pos,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be."
Neutral,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp
Neg,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7."
Pos,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi
Neg,ipad2 and #sxsw...a conflagration of doofusness.  {link}
Pos,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.
Pos,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link}
Neutral,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link}
Neutral,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW
Pos,This is a #WINNING picture #android #google #sxsw {link}
Neutral,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention
Neutral,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link}
Neg,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}"
Pos,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip
Pos,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw
Neutral,.@mention 1154 free songs from #SXSW (this year alone!) {link}
Neutral,more than 150 million mobile users for Google Maps for Mobile #SXSW
Neutral,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw
Neutral,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69"
Neutral,  We love 2 entertain you��_Please don�۪t be grateful! ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter
Neutral,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi
Neg,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw"
Neutral,(The iPad 2 queue at #sxsw of course
Pos,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link}
Pos,many iPad 2's snapping away at the keynote slides! #sxsw
Neutral,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw
Neutral,Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw
Pos,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi
Neutral,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link}
Pos,sweet new 3-d google maps demo going on in ballroom D #SXSW
Pos,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW
Neutral,rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider   about 250 people! Only one more hour. ' #sxsw
Neutral,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention"
Neutral,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars"
Neutral,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}"
Neutral,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw"
Pos,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available"
Neutral,We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW
Neutral,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}"
Neutral, @mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on
Neutral,"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw"
Pos,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable
Neutral,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW"
Neutral,Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw
Pos,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.
Neutral,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw"
Neutral,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw"
Pos,"Not to be a rumor monger, but this was a good read �_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb"
Neutral,HOBO WITH A SHOTGUN iPhone game {link} #sxsw
Pos,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW
Pos,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2
Neutral,Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm
Neutral,Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2
Pos,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?
Neutral,Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link}
Neutral,"google is about search, but local' marissa mayer #sxsw"
Neutral,Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin
Neutral,Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google
Neutral,Questions about what's inside the iPad 2? Fire them my way. #sxsw
Neutral,Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw
Neutral,Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link}
Neutral,Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW
Neutral,Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link}
Neg,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys..."
Pos,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention
Neutral,"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw"
Neg,I meant I also wish I  at #SXSW #dyac stupid iPhone!
Neutral,Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally
Neutral,Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi {link}
Pos,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link}
Neutral,What does an Apple security guy after he locks up the store..... #sxsw - {link}
Neutral,What does an Apple security guy after he locks up the store..... #sxsw - The Realtime SXSW S... {link} curated by @mention
Neutral,How I got an iPad 2 during #SXSW!  {link} cc @mention
Pos,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!
Pos,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW
Neutral,GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm
Neutral,@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  {link} (cont) {link}
Neutral,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link}
Neutral,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link} {link}
Neutral,"I came in and left #sxsw with my iPhone playing the same song, chosen at random: Skream's Listening to the Records on my wall. Appropriate."
Pos,marketing and sales GENIUS: {link} #Apple #SXSW
Neutral,"Arduino + android = Flaming skulls  {link} Refrigerator Speaks , Salon K, 3:30pm @mention @mention #sxsw #smartthings"
Neutral,Reminder: Android and Chrome TTS talk @mention 1 PM today!  {link}  #sxsw
Neutral,iPad 2 vs Android vs The World : Panel at #SXSW today 3:30PM by @mention {link}
Neutral,"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi {link}"
Neutral,Google is announcing a social network &quot;Circles&quot; (via #SXSW tweets). Interesting. Myopia will cause Buzz jokes. But this is interesting.
Pos,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)"
Neutral,Did u see anything on Google's Circles at the #sxsw? @mention @mention
Pos,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.
Neutral,Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: {link}
Neg,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW"
Pos,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore
Neutral,My iPhone app screen for #sxsw what am I missing?   {link}
Pos,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link}
Neutral,The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link}
Neutral,Say what? Apple #sxsw popup store in Austin! {link} ~@mention @mention
Neutral,"BREAKING: Apple announces partnership w/porn industry for new #ipad2 video chat app called, &quot;O-FaceTime&quot;. #sxsw"
Neg,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2
Pos,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link}
Pos,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet
Pos,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet
Neutral,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. http:/ {link}
Pos,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link}
Neutral,"#technews Apple heads to SXSW, sets up temporary store in Austin {link} #Tech_News #Apple #iPad_2 #Rance_Wilemon #SXSW #tech"
Pos, @mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw
Pos, @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw
Neg, @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.
Pos,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]"
Pos,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech"
Neutral,"At #SXSW, Apple schools the marketing experts  {link}"
Pos,"At #SXSW, Apple schools the marketing experts {link}"
Pos,"At #SXSW, Apple schools the marketing experts {link} via @mention"
Pos,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them."
Pos,"At #SXSW, Apple schools the marketing experts | CNET - {link}"
Pos,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail"
Pos, @mention Apple store downtown Austin open til Midnight. #sxsw�۝ @mention there's still time :)
Neutral, @mention Apple store downtown Austin open til Midnight. #sxsw�۝ any ipad2 left in stock?
Neutral,@mention  Apple Store on Congress  {link} #sxsw #austin
Neg,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw
Neutral,2wks only Apple Store in 6th Austin street is now opened. #sxsw
Neutral,A special Apple store: opening at 6th and Congress for SXSW &amp; ipad 2 launch. www.apple.com/retail/thedomain/  #Apple #iPad2 #sxsw #fb
