label,text
Neg,Content will move back to the browser. Why replicate the work on an iPad when u can press one button? @mention @mention #sxsw
Neg,Mad mad lines still at the #SXSW Apple pop up store here in Austin #ipad2
Neg,I'm thinking that I may actually have to take my laptop to #sxsw. The iPad alone may not be enough on this trip.
Neg,Been playing w/ the Windows7 phone here at #SXSW.The animation is better than an iphone&amp; it does look very interesting!
Neg,"@mention Instagram, but it's iPhone only at the moment mister &quot;Has to be cool and different and get an EVO&quot; that SUCKS. #sxsw"
Neg,Hey @mention got invited to a new group at #SXSW and your Android app keeps crashing when I try to join! WTF? #sxswfail
Neg,hey @mention twitter needs a way for us in disaster areas to filter out things like #sxsw and #ipad too because right now we really don't care
Neg,Hey @mention your app won't download from the Android app market. Just a heads up #SXSW
Neg,Guy with iPad 2 taking photos of @mention slides. Awkward! #sxsw
Neg,"@mention iPad app getting panned for design trumping content, and rightfully so. #SXSW"
Neg,Fuck the iphone! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW ... {link}
Neg,@mention is about to talk about the mistakes he made building Netflix for the iPhone. #SXSW #netflixiphone
Neg,"Bad news is it costs $1,000? RT @mention Louis Vuitton has an iPhone app. Called Amble #digitalluxury #sxsw"
Neg,"My row this morning two people hand writing notes, one person on a Blackberry and me on a #pc - proof Apple isn't a monopoly at #sxsw"
Neg,Many publishers' iPad content enhancements are like th worst David Foster Wallace footnotes- kinda interesting but mostly irrelevant. #sxsw
Neg,iPhone crisis at #sxsw Phone is stuck on silver logo screen. Has been for last 15 minutes. Help?
Neg,"I cant wait to give the SAMSUNG people a demo of my horrible, terrible Google Nexus S phone at #sxsw"
Neg,"And now, it won't pull from website to iPhone. Awesome. Glad I wasted that time. #festivalgenius #notsomuch #sxsw"
Neg,You know it's bad with you have to un-RSVP just to see/use your calendar.  #iphone #sxsw #FML
Neg,@mention It's the next step of Google becoming Skynet. #SXSW
Neg,The Netflix iPhone app was built to a &quot;ridiculous deadline&quot;. Big mistake on the tech's part to agree to it #sxsw
Neg,First talk of the day : iPad design headaches. #SXSW
Neg,Josh Clark:  I hate the iPad's back button with the heat of a million suns.  #tapworthy #SXSW
Neg,"Google takes the mantra of 'Dont be evil' to heart, yet their pride in their products make them guilty of the 7th deadly sin, Superbia #sxsw"
Neg,Why is all the prizes at #SXSW apple products? Sigh
Neg,Cant handle #SxSW traffic? RT @mention Dear @mention your own app for iPhone has sucked all day. #crashing
Neg,"This double buzzing issue with iPhone iOS 4.3 is getting annoying. In other news, an iPhone may fly across the room at #GR2L2 #SXSW"
Neg,&quot;Apple is the most elegant fascist company in America.&quot; #flipboard #SXSW
Neg,Have Google launched their next social media flop yet? #sxsw
Neg,&quot;Apple likes it if you pay them. That's what Apple likes.&quot; - Barry Diller #SXSW (@mention ACC - Ballroom D) [pic]: {link}
Neg,"Dear google, your photobooth sucks. #sxsw"
Neg,&quot;Apple: the most elegant fascist corporation in America today.&quot; -- Kara Swisher #sxsw #flipboard
Neg,About to learn all about design headaches for iPad #sxsw
Neg,"Barry Diller says iPad-only magazines like The Daily don't make sense, {link} #sxsw"
Neg,Barry Diller says that you're silly if you write content for one form factor only. Apple like it because they get money #SXSW
Neg,Barry Diller's pragmatic and straight forward which is nice. Looks like he wants us to grab pitchforks vs. Apple #SXSW
Neg,Google will eat itself #rhizome #sxswk #sxsw  @mention Hilton {link}
Neg,"Google will not launch Facebook competitor Circles @mention #sxsw today as thought, creeper half-friends the world over disappointed."
Neg,"And it will suck. RT @mention RT @mention Google will preview major new social service, Circles, at #sxsw today {link}"
Neg,Look at all these people at #sxsw with iPad 1's. No shame.
Neg,I feel silly but cannot figure out how to update the #sxsw mobile app on android. It doesn't seem to have &quot;options&quot; (bottom left button)?
Neg,"I was really hoping #SXSW would bring an Android version of @mention Oh well, maybe someday...a long time from now."
Neg,"Will overload of info delivered by Google kill discovery? Google says ppl won't lose curiosity, but I wonder...We need serendipity. #SXSW"
Neg,@mention love what y'all do at #SXSW. How come I'm getting login authorization error almost every time I open my app on iPhone?
Neg,"After failure of Google buzz, Google Latitude, now Google Circle! Seriously Google needs to concentrate more on search! #FAIL #google #sxsw"
Neg,"You finally get everyone to buy in to Facebook and then Google introduces Circle. No fair. Stop with all the innovation, people #sxsw"
Neg,"You finally get everyone to buy in to Facebook and then Google introduces Circles. No fair. Stop with all the innovation, people #sxsw"
Neg,@mention Might need to go to Apple today. I think my &quot;S&quot; &quot;X&quot; and &quot;W&quot; keys are worn out. #SXSW
Neg,just got mine &amp; i disagree RT  @mention Peter Cashmore on iPad 2 it's only a minor improvement Not worth it unless you've $ 2 burn #SXSW
Neg,"Nope, seems no Google Circles launch today: {link} #sxsw"
Neg,@mention my #twitter iPhone app has been down for a few days. Heading to #SXSW and want to tweet a lot - can you help?
Neg,@mention my iPhone crashed &amp; I had to do a fresh restore &amp; lost my fave Dali/canvas pak? Can I ever get it back? Also are you @mention #sxsw?
Neg,"Ahhh, darn :( RT @mention @mention @mention according to @mention Google has confirmed it is not launching at #SXSW, if at all."
Neg,"Please can I hear more people talk about the iPad 2, preferrably with more #sxsw hashtags -  I really have a deficit of this in my life!"
Neg,"this woman is great - fessing up to issues, admitting google could do better #sxsw"
Neg,Sitting on the floor behind a guy who's fondling his new iPad 2 in a very disturbing way. #sxsw
Neg,Grrr..plancast stuff exported to Google calendar in San Diego/pacific time did not shift to central tme #wack #sxsw
Neg,"line around the corner for #iPad2 at #sxsw, i say wait on it. I've already got two cameras on my #iPhone sorry #apple"
Neg,"Bereft wanderer. White cord, limp. Lifeless. There is no outlet for your iPhone here. #sxsw #poetry"
Neg,Man panhandling for an iPad 2 at SXSW. What�۪s the world coming to? #iPad #apple #tablet #SXSW
Neg,This iPhone #SXSW app would b pretty awesome if it didn't crash every 10mins during extended browsing. #Fuckit #Illmakeitwork
Neg,"SXSW iPhone app is awesome, but iPad app crashes every time. #sxsw"
Neg,Does anyone have an address for the yeasayer concert tonight? Google maps is failing. #sxsw
Neg,I asked one of the booth people if #apple paid every single booth here to show their product on iPad2s. She said no. #idontbelieve #sxsw
Neg,"the internet blurs, {link} the iPad fades, {link} ��� @mention at #SXSW"
Neg,interesting &quot;@mention &quot;Google looks for technical solutions which why they're not great @mention community because its a human solution #SXSW�۝
Neg,My tweeting from #sxsw been pretty non existent today thanks to the @mention iPhone app #fail - Hootsuite is the epic replacement! #owllove
Neg,I was going to mock the tech-nerds for coming to #sxsw only to stand in a 4-hour line for an iPad 2. Then I remembered me and horror movies.
Neg,Is starting to think my #blackberry is more like the #abacus of phones. Damn u #iphone. #sxsw (I just wanted # abacus)
Neg,"@mention Nice #SXSW song @mention  Don�۪t hack, Write Rails. Under deliver, over sell. Work for Google. {link}"
Neg,"@mention No, no, no .. I wouldn't buy an iPad 2. I'd wait for the iPad 3 with teleporting capabilities. #sxsw"
Neg,This technology couldn't happen on an iPhone' - Nokia #pushsnowboarding #sxsw
Neg,There is nothing sillier than watching people record video with an ipad. #SXSW
Neg,Agreed ��� Novelty of #iPad news #apps fades fast among digital delegates ��� {link}  #media #SXSW (via @mention
Neg,In the Consumerist's &quot;Worst Company in America 2011&quot; tournament bracket - apple is pitted against microsoft in the first round #sxsw
Neg,I fully anticipate that every geek-douche will be toting an iPad 2 at #SXSW. These people are also why it's not worth going.
Neg,I am inventing a &quot;dislike&quot; button for #iPad 2 lines. {link} #SXSW
Neg,Grrrr @mention not muting #sxsw as thought on web or iphone :(
Neg,"Organic unveils BroadFeed, social news app for ipad. Audience gets up and heads for the door. #sxsw"
Neg,Mayer also admits that Google needs to &quot;step up&quot; its customer support for Google Maps. #sxsw
Neg,"Decided to go to LA instead of #SXSW, because my AT&amp;T iPhone would be about as useful as a brick in Austin."
Neg,Heading to iPad Design Headaches in Hilton - Salon J #sxsw
Neg,Excited to meet the @mention at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail
Neg,iPhone too old for #SXSW schedule app. Oh noes.  #rejection
Neg,There's no way that you an call the iPad count at #sxsw reasonable. I think there's one for every 2 people.
Neg,Apple autocorrect is so weird. Ogilvy autocorrects to idiocy. #ogilvynotes #sxsw :)
Neg,"Google product showcases never feel that cool. No price tag, brand equity, wow factor attached. #sxsw marissa mayer"
Neg,Cashmere of Mashable: Thinks the iPad 2 is not a huge step up. Now waiting for the Apple PR team to parachute into the #SXSW session.
Neg,"Andrew K of PRX equates the homogeneity of the Apple ecosystem w predictability, vs Android's wild west. #imaconf #sxsw #drumbeat #MoJo"
Neg,Aron Pilhofer of the New York Times and design guru Khoi Vinh express scepticism about iPad news apps at #SXSW {link}
Neg,RT @mention 'Google lost its way by caring too much for the business vs. the users' - @mention #psych #sxsw
Neg,RT @mention 'This technology couldn't happen on an iPhone' - Nokia #pushsnowboarding #sxsw
Neg,MT @mention (Swisher calls Apple &quot;the classiest fascist company in America&quot; #sxflip #sxsw
Neg,RT @mention @mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW
Neg,"RT @mention @mention iPad app getting panned for design trumping content, and rightfully so. #SXSW"
Neg,RT @mention @mention Peter Cashmore on the iPad 2: it's only a minor improvement. Not worth it unless you have money to burn. #SXSW
Neg,RT @mention &quot;@mention - #Apple is the classiest fascist company in America. Really elegant.&quot; #sxsw #rji
Neg,RT @mention &quot;Apple is the most elegant fascist company in America.&quot; #flipboard #SXSW
Neg,RT @mention &quot;Apple: the most elegant fascist corporation in America today.&quot; -- Kara Swisher #sxsw #flipboard
Neg,"RT @mention &quot;Google looks for technical solutions, which why they're not great at community because it's a human solution.&quot; #SXSW"
Neg,RT @mention &quot;I believe in God because there is no other explanation for Apple's continued existence.&quot; Guy Kawasaki #enchantment #sxsw
Neg,"RT @mention &quot;multiple approaches to monetization&quot; re: iPhone game dev &quot;but ads would cheapen our product&quot; ok, good luck with that #sxsw"
Neg,RT @mention &quot;There's a reason why Google isn't in social -- they are too technical.&quot; #sxsw #comments
Neg,RT @mention #futuremf Trajan: Google has destroyed the &lt;title&gt; tag - websites SEO them. Open Graph Protocol added a clean title tag instead #sxsw
Neg,RT @mention #sxsw #csr reporting: Janecek: Microsoft gives $ to charity. Apple gives nothing. Everyone in room has iPhone. What drives that decision?
Neg,RT @mention #sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha
Neg,RT @mention #SXSW 2011: The Google and Bing smackdown in all its bloody banality (Guardian) {link} via @mention
Neg,RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white
Neg,"RT @mention #sxsw rumor mill: iPad 3 will have between 6 and 15 cameras, slightly thinner rare earths case, and &quot;different&quot; but still smudgy screen."
Neg,RT @mention #sxsw WAZE {link} is duking it out with google re: personalized mapping experience. Friendly &quot;panel crashing&quot;
Neg,RT @mention #SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link}
Neg,RT @mention #UXdes @mention is glad there are no standard #iPad navigation tools. She might be the only one! #SXSW
Neg,"Diabetes on a plate. Thanks Google, already have that covered. {link} #sxsw"
Neg,RT @mention Agreed ��� Novelty of #iPad news #apps fades fast among digital delegates ��� {link}  #media #SXSW (via @mention
Neg,"RT @mention And it will suck. RT @mention RT @mention Google will preview major new social service, Circles, at #sxsw today {link}"
Neg,RT @mention Anyone who was going to buy a new iPad should donate to #Japan #tsunami victims instead. #sxsw
Neg,"RT @mention Apparently, if you Google &quot;ad preferences&quot; and you'll see what Google thinks you'll like. #seenocreepy #sxsw #PNID"
Neg,RT @mention Apple autocorrect is so weird. Ogilvy autocorrects to idiocy. #ogilvynotes #sxsw :)
Neg,"RT @mention Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw"
Neg,RT @mention Apple...&quot;the classiest fascist company in America&quot; Kara Swisher #sxsw
Neg,RT @mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot; (@mention
Neg,RT @mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot; (@mention @mention
Neg,RT @mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot; @mention
Neg,RT @mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot; &lt;Amen!&gt;
Neg,RT @mention Best thing I've heard this wknd @mention #SXSW &quot;I gave my iPad 2 money 2 #Japan relief. I don't need iPad 2&quot;(@mention @mention)
Neg,RT @mention Brought up how Google Maps had rerouted all images of JCPenney to images of Macys or trashy restraunts. They had no comment #uosxsw #sxsw
Neg,"RT @mention Decided to go to LA instead of #SXSW, because my AT&amp;T iPhone would be about as useful as a brick in Austin."
Neg,RT @mention Deleting the #sxsw iPhone app!  {link}
Neg,"RT @mention DELICIOUSLY IRONIC GOOGLE PRIVACY PARTY MADE WHOLE BY &quot;BANKING CARTEL, MILITARY-SCIENTIFIC DICTATORSHIP TAKEOVER&quot; CAB RANT! #SXSW"
Neg,"RT @mention Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller"
Neg,RT @mention Epic. There's just one guy waiting in line for the iPad 2 in Austin at SXSW. {link} #sxsw #ipad #ipad2
Neg,"RT @mention False Alarm: Google Circles Not Coming Now, And Probably Not Ever {link} - so much for reports that it would unveil at #sxsw"
Neg,"RT @mention Fest tip-don't be an iPhone douche.Put away your phone and talk to your fellow festgoers in lines, etc.All good people who love film. #sxsw"
Neg,"RT @mention Finally fed up with #AngryBirds, Julian screamed &quot;I got your no-fly zone right here, pigfucker!&quot; and threw his iPad at some kid. #sxsw"
Neg,"RT @mention Fodder for #snubor panel at #SXSW: &quot;Right to Forget&quot; gains traction in Europe, causing issues for Google {link}"
Neg,RT @mention forward to delicious T-Mobile 4G here in Austin while iPhone users struggle to do anything. #SXSW
Neg,"RT @mention Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW"
Neg,RT @mention Google Circles will be toast if it can't convince facebook users to start an account (or interface with FB)   #sxsw
Neg,"RT @mention Google hotpot- rate restaurants and get personalized recos on where to eat. Um, think foursquare, yelp, etc have this covered already. #SXSW"
Neg,RT @mention Google Latina and see what you find? Porn...this is the first impression that people get about us? #latism #sxsw #sxswLatAm #LatinasInTech�۝
Neg,RT @mention google presentation by Mayer is a sales pitch #fail #sxsw
Neg,"RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today at #sxsw rww.to/f6BCEt | O'goody more overload"
Neg,RT @mention Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW
Neg,RT @mention Google was incapable of doing disruptive innovation- and acquired 89 startups over the last few years @mention #leanstartup #sxsw
Neg,RT @mention Hipsters w/ oversized earphones pluged into the new IPAD make me happy that Texas has such loose gun laws #SXSW
Neg,"RT @mention Hm? Do we need another 1? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw"
Neg,RT @mention Hmm... the sxsw.com/interactive/live stream isn't ipad/mobile compatible. Maybe next year. #sxsw
Neg,"RT @mention I cant wait to give the SAMSUNG people a demo of my horrible, terrible Google Nexus S phone at #sxsw"
Neg,"RT @mention I feel like my iPhone: Always on, always doing something, running out of battery fast. #sxsw"
Neg,RT @mention I have yet to walk into a conference room where it doesn't look like an Apple ad. You'd think there was nothing else. #SXSW
Neg,RT @mention I know it's #SXSW because my iPhone has started lying to me about its signal strength.
Neg,RT @mention I think #Google lost their way by caring too much about their business (instead of their users) Tim O'Reilly #sxsw #pnid
Neg,RT @mention I think my effing hubby is in line for an #iPad 2. Can someone point him towards the line-up for wife number #2. #sxswi #sxsw
Neg,"RT @mention If you have an iPad DO NOT upgrade to the newest iOS yet, TweetDeck is very unstable on it #nten #11ntc #sxsw #sxswi"
Neg,"RT @mention In a room full of geeks talking TV, @mention just asked, &quot;Who uses Google TV?&quot; No one raised hand. #socialviewing #sxsw"
Neg,RT @mention iPad design headaches with Josh Clark #tapworthy #SXSW  {link}
Neg,RT @mention iPad design malady: iPad Elbow - I hate the iPad's back button with the heat of a million suns. #tapworthy #sxsw
Neg,RT @mention Ironic? I googled the directions to @mention party and ended up walked 6 blocks in the wrong direction. Time for bed I think. #SXSW
Neg,RT @mention It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly
Neg,RT @mention It's official: people using the iPad 2 to take photos just look weird. #SXSW
Neg,RT @mention Josh Clark:  I hate the iPad's back button with the heat of a million suns.  #tapworthy #SXSW
Neg,"RT @mention Just read that #apple will be at #SXSW selling iPad 2 on release day. Good lord, the vortex of smugness that day may be unbearable."
Neg,RT @mention Just saw someone take a picture with an iPad 2 for the first time. Looks as ridiculous as you'd expect. #sxsw #sightings
Neg,"RT @mention Line for Source Code is even longer than for iPad 2. Take that, Apple. #sxsw"
Neg,RT @mention Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.
Neg,RT @mention New #SXSW rule: no more ooing and ahing over your new iPad. We get it. Its not a big deal. Everybody has one now... :-)
Neg,RT @mention New Iphone autocorrect already tried to change &quot;coworkers&quot; to &quot;visigoths.&quot; Its going to be a long five days of #sxsw
Neg,RT @mention Not a fan of a new #sxsw trend - audience sharing opinions via holding up an iPad. Not here to listen to you. #annoying
Neg,RT @mention Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw
Neg,RT @mention Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw
Neg,RT @mention Novelty of iPad news apps fades fast among #SXSW delegates - by @mention {link}
Neg,"RT @mention Part of Journalsim is the support of democracy, yes? Informed populous, yes? iPad, as a focus, does not support that #newsapps #sxsw"
Neg,"RT @mention RT @mention  @mention to Launch Major New Social Network Called #Circles, Possibly Today! {link} #sxsw #SMM &gt;&gt;Really Google? Now?"
Neg,"RT @mention RT @mention Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw"
Neg,RT @mention RT @mention forward to delicious T-Mobile 4G here in Austin while iPhone users struggle to do anything. #SXSW
Neg,RT @mention RT @mention Sound of My Voice was shot exploiting Apple &amp; Best Buy's 14-day return policy on iMacs. Brilliant. #sxsw
Neg,"RT @mention Slides from #SXSW talk, &quot;iPad Design Headaches &quot; {link} #tapworthy . Really interesting for designers as well."
Neg,RT @mention speaks truth: Watched #Apple staff at the temp #sxsw store just high five entire long line and facepalmed. Ugh. #LongLinesBadUX
Neg,RT @mention SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link} #SXSW
Neg,RT @mention Temp Apple Store 6th St  Austin #sxsw closed for night &quot;they're out of stuff' says Austin cops barring the door!
Neg,RT @mention Temporary #sxsw apple store. Apple being sneaky as usual  {link}
Neg,"RT @mention the future is about networks, not just data. that's why google may not win long term #SXSW #web3 #SaatchiNY"
Neg,RT @mention The iPad 2 is the also a cartoonishly large digital camera. #SXSW #CStejas {link}
Neg,RT @mention This group next to me has 6 ppl @mention the table. Everyone is using thier phone/ipad instead of taking to each other. #SXSW
Neg,RT @mention Who uses Google TV in this room? Nobody raises a hand in a packed room at the #socialviewing session at #sxsw
Neg,"RT @mention Will overload of info delivered by Google kill discovery? Google says ppl won't lose curiosity, but I wonder...We need serendipity. #SXSW"
Neg,"RT @mention Woman in lobby: &quot;there's a website called, like, stupid iPhone speller, and it's ppl taking pics of funny autocorrected words.&quot; #sxsw"
Neg,"RT @mention yes, i hate the fanboys. still valid tho- to those that waited for the iPad2 instead of enjoying #sxsw: {link}"
Neg,"#sxsw iPhone app: control mania! Half of the screen used for buttons and filters, other half for content. #ui-fail"
Neg,"Fuck. iPhone crapped out, will not charge at all. Says it is charging, but at 5% after all night. What are my options in Austin? #sxsw"
Neg,Damn it Google! Your glow-in-the-dark cup leaked glow-in-the-dark goo in my camera bag! #SXSW
Neg,It just looks stupid to take pix with an iPad 2 - believe me guys  #sxsw
Neg,Apple is opening a temporary store in Austin for #SXSW. Because people obviously want to shell out $1500 for a MacBook while visiting Austin
Neg,Apple is opening a temporary store in Austin for #SXSW. Because people obviously want to shell out $1500 for a MacBook.
Neg,"Google dropped real estate search b/c to do it right, they'd need to invest much more than they're willing to at the moment. #SXSW"
Neg,"NYT app for iPad: not &quot;here's an amazing way to serve our readership,&quot; more &quot;here's a market opportunity we can't ignore.&quot; #sxsw #newsapps"
